accession	tax_id	scientific_name	base_count	description
AB669886	137074	Drosophila mayri	836	Drosophila mayri Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0591.00.
AB932666	133990	Drosophila parthenogenetica	834	Drosophila parthenogenetica Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2221.00.
X15585	7232	Drosophila navojoa	2334	Drosophila navojoa Adh-1 gene for alcohol dehydrogenase (EC 1.1.1.1)
LC057201	94111	Drosophila prostipennis	827	Drosophila prostipennis Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0291.00.
X03048	7231	Drosophila mulleri	6778	Drosophila mulleri adh genes for alcohol dehydrogenase (adh-1, adh-2, pseudo-adh)
AB194427	30050	Drosophila varians	1756	Drosophila varians Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.
AF045124	30024	Drosophila emarginata	405	Drosophila emarginata strain 14042-0841.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.
AF045125	30024	Drosophila emarginata	405	Drosophila emarginata strain 14042-0841.7 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.
AY154830	7230	Drosophila mojavensis	880	Drosophila mojavensis strain MJBC 39.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY154864	7230	Drosophila mojavensis	877	Drosophila mojavensis strain MJBC 25.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AB194421	42026	Drosophila bipectinata	1769	Drosophila bipectinata Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.
AF045113	7273	Drosophila saltans	405	Drosophila saltans strain 14045-0911.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.
AY154868	7230	Drosophila mojavensis	878	Drosophila mojavensis strain MJBC 47.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
U66411	7227	Drosophila melanogaster	4789	Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds.
AY154834	7230	Drosophila mojavensis	880	Drosophila mojavensis strain MJBC 103.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY154837	7230	Drosophila mojavensis	880	Drosophila mojavensis strain MJBC 157.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY154874	7230	Drosophila mojavensis	880	Drosophila mojavensis strain MJBC 157.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY154876	7230	Drosophila mojavensis	878	Drosophila mojavensis strain MJBC 205.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AF348881	73155	Drosophila biauraria	666	Drosophila biauraria strain HP alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.
AF348880	67534	Drosophila triauraria	668	Drosophila triauraria strain ONM alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.
AI513113	7227	Drosophila melanogaster	515	GH01616.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH01616 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/12/2002, mRNA sequence.
CK131199	7227	Drosophila melanogaster	668	GH15138.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH15138 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/14/2002, mRNA sequence.
CV785019	7245	Drosophila yakuba	231	zaa07h09.x2 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to TR:Q9U8T1 Q9U8T1 ALCOHOL DEHYDROGENASE , mRNA sequence.
BI566106	7227	Drosophila melanogaster	559	RH35228.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH35228 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/31/2001, mRNA sequence.
AI107293	7227	Drosophila melanogaster	445	GH03875.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH03875 5 similar to X04454: Drosophila melanogaster alcohol dehydrogenase null4 allele, mRNA sequence.
AY695385	133993	Drosophila belladunni	1117	Drosophila belladunni alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.
AY695382	133979	Drosophila dunni	2005	Drosophila dunni alcohol dehydrogenase (adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exons 1 through 3 and partial cds.
BF497094	7227	Drosophila melanogaster	532	AT11166.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT11166 5 similar to CG6083: FBan0006083 'alcohol dehydrogenase, iron-dependent' located on: 3L 68C9-68C10 : 04/08/2001, mRNA sequence.
BF494131	7227	Drosophila melanogaster	799	AT02556.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT02556 5 similar to CG6083: FBan0006083 'alcohol dehydrogenase, iron-dependent' located on: 3L 68C9-68C10 : 04/07/2001, mRNA sequence.
BI214744	7227	Drosophila melanogaster	677	RE20859.5prime RE Drosophila melanogaster normalized Embryo pFlc-1 Drosophila melanogaster cDNA clone RE20859 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/12/2001, mRNA sequence.
BI623813	7227	Drosophila melanogaster	601	RH56162.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH56162 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/22/2001, mRNA sequence.
AA802598	7227	Drosophila melanogaster	684	GM05887.5prime GM Drosophila melanogaster ovary BlueScript Drosophila melanogaster cDNA clone GM05887 5 similar to T3dh: FBan0003425 GO:[alcohol dehydrogenase (GO:0004022) enzyme (GO:0003824)] located on: 2R 58D4-58D4 : 08/13/2002, mRNA sequence.
BI630708	7227	Drosophila melanogaster	558	RH59992.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH59992 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/23/2001, mRNA sequence.
AI387658	7227	Drosophila melanogaster	512	GH18240.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH18240 3prime similar to U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds. CDS:<1..184 PID:g1655925, mRNA sequence.
AA440486	7227	Drosophila melanogaster	529	LD13208.3prime LD Drosophila melanogaster embryo BlueScript Drosophila melanogaster cDNA clone LD13208 3prime similar to U66409: Drosophila melanogaster Pgc mRNA, 3' non-coding region U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds, mRNA sequence.
AF006564	7234	Drosophila persimilis	3482	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
AY279327	51159	Drosophila lutescens	2773	Drosophila lutescens alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.
AF399012	42027	Drosophila kuntzei	4800	Drosophila kuntzei alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, complete cds.
JF735883	7282	Drosophila obscura	639	Drosophila obscura alcohol dehydrogenase gene, partial cds.
X62187	7237	Drosophila pseudoobscura	3444	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62212	7237	Drosophila pseudoobscura	3459	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62234	7237	Drosophila pseudoobscura	3499	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64473	7237	Drosophila pseudoobscura	3487	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64488	7237	Drosophila pseudoobscura	3469	D.pseudoobscura Adh gene for alcohol dehydrogenase
JF735884	7283	Drosophila phalerata	370	Drosophila phalerata alcohol dehydrogenase gene, partial cds.
M19264	7226	Drosophila mauritiana	4581	D.mauritiana alcohol dehydrogenase gene, complete cds.
X64475	7237	Drosophila pseudoobscura	3470	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64489	7237	Drosophila pseudoobscura	3472	D.pseudoobscura Adh gene for alcohol dehydrogenase
AH000981	7227	Drosophila melanogaster	271	Drosophila melanogaster alcohol dehydrogenase gene, partial cds.
U68469	7266	Drosophila guanche	2146	Drosophila guanche alcohol dehydrogenase (Adh) processed pseudogene.
X62227	7237	Drosophila pseudoobscura	3444	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62237	7237	Drosophila pseudoobscura	3470	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64479	7237	Drosophila pseudoobscura	3459	D.pseudoobscura Adh gene for alcohol dehydrogenase
U68471	30013	Drosophila madeirensis	1042	Drosophila madeirensis alcohol dehydrogenase (Adh) processed pseudogene.
X62205	7237	Drosophila pseudoobscura	3479	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62207	7237	Drosophila pseudoobscura	3467	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64474	7237	Drosophila pseudoobscura	3475	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64482	7237	Drosophila pseudoobscura	3498	D.pseudoobscura Adh gene for alcohol dehydrogenase
M63392	7235	Drosophila picticornis	1598	Drosophila picticornis alcohol dehydrogenase gene, complete cds.
X62197	7237	Drosophila pseudoobscura	3490	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64484	7237	Drosophila pseudoobscura	3472	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62230	7237	Drosophila pseudoobscura	3474	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64483	7237	Drosophila pseudoobscura	3463	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64481	7237	Drosophila pseudoobscura	3494	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62202	7237	Drosophila pseudoobscura	3476	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62208	7237	Drosophila pseudoobscura	3468	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62216	7237	Drosophila pseudoobscura	3481	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62231	7237	Drosophila pseudoobscura	3465	D.pseudoobscura Adh gene for alcohol dehydrogenase
AY238780	7229	Drosophila miranda	2042	Drosophila miranda strain MSH22 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AY238781	7229	Drosophila miranda	2042	Drosophila miranda strain MSH38 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AF264081	46794	Drosophila tropicalis	405	Drosophila tropicalis alcohol dehydrogenase (Adh) gene, partial cds.
AF264082	7260	Drosophila willistoni	405	Drosophila willistoni alcohol dehydrogenase (Adh) gene, partial cds.
AY006426	46814	Drosophila primaeva	508	Drosophila primaeva alcohol dehydrogenase (Adh) gene, partial cds.
AY081438	103845	Drosophila nannoptera	288	Drosophila nannoptera alcohol dehydrogenase (Adh) gene, partial cds.
AY750133	311479	Drosophila gani	911	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.
M73256	7227	Drosophila melanogaster	1375	D.melanogaster alcohol dehydrogenase (Adh) gene, exon 2.
MG684382	30044	Drosophila rubida	693	Drosophila rubida alcohol dehydrogenase (Adh) gene, partial cds.
AB026529	46793	Drosophila paulistorum	776	Drosophila paulistorum gene for alcohol dehydrogenase, partial cds.
AY006424	46819	Drosophila obscuripes	510	Drosophila obscuripes alcohol dehydrogenase (Adh) gene, partial cds.
AY750121	65966	Drosophila tsigana	911	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
AY750125	107829	Drosophila moriwakii	911	Drosophila moriwakii alcohol dehydrogenase (Adh) gene, partial cds.
AY750128	65966	Drosophila tsigana	911	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
HQ631469	125945	Drosophila biarmipes	290	Drosophila biarmipes alcohol dehydrogenase (adh) gene, partial cds.
HQ631474	65963	Drosophila fuyamai	290	Drosophila fuyamai alcohol dehydrogenase (adh) gene, partial cds.
HQ631477	212812	Drosophila liui	290	Drosophila liui alcohol dehydrogenase (adh) gene, partial cds.
HQ631482	65964	Drosophila pseudoananassae	290	Drosophila pseudoananassae alcohol dehydrogenase (adh) gene, partial cds.
HQ631483	94111	Drosophila prostipennis	290	Drosophila prostipennis alcohol dehydrogenase (adh) gene, partial cds.
HQ631485	137070	Drosophila tani	290	Drosophila tani alcohol dehydrogenase (adh) gene, partial cds.
HQ631486	94110	Drosophila trapezifrons	290	Drosophila trapezifrons alcohol dehydrogenase (adh) gene, partial cds.
HQ631487	94114	Drosophila trilutea	290	Drosophila trilutea alcohol dehydrogenase (adh) gene, partial cds.
JF710263	50033	Drosophila kanekoi	890	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, complete cds.
AB026526	30024	Drosophila emarginata	840	Drosophila emarginata gene for alcohol dehydrogenase, partial cds.
AF059890	7256	Drosophila pinicola	290	Drosophila pinicola alcohol dehydrogenase (Adh) gene, partial cds.
AF264073	46840	Drosophila capricorni	405	Drosophila capricorni alcohol dehydrogenase (Adh) gene, partial cds.
AF264074	46790	Drosophila equinoxialis	405	Drosophila equinoxialis alcohol dehydrogenase (Adh) gene, partial cds.
AY750122	119604	Drosophila lacertosa	911	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.
AY750129	311475	Drosophila yunnanensis	911	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.
AY750143	311480	Drosophila medioconstricta	911	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.
AY754404	7246	Drosophila affinis	2529	Drosophila affinis alcohol dehydrogenase (Adh) gene, complete cds.
DQ471664	7253	Drosophila mercatorum	711	Drosophila mercatorum alcohol dehydrogenase (Adh) gene, partial cds.
EU532133	126477	Drosophila fumipennis	590	Drosophila fumipennis alcohol dehydrogenase (Adh) gene, partial cds.
HQ631479	307244	Drosophila ogumai	290	Drosophila ogumai alcohol dehydrogenase (adh) gene, partial cds.
L08648	7260	Drosophila willistoni	1308	Drosophila willistoni alcohol dehydrogenase (Adh) gene, complete cds.
M36581	7240	Drosophila simulans	2719	D.simulans alcohol dehydrogenase (Adh) gene, complete cds.
U26843	40371	Drosophila lummei	950	Drosophila lummei alcohol dehydrogenase (Adh) gene, complete cds.
X68159	7237	Drosophila pseudoobscura	3476	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS298)
AY006412	46808	Drosophila oahuensis	510	Drosophila oahuensis alcohol dehydrogenase (Adh) gene, partial cds.
X68161	7237	Drosophila pseudoobscura	3463	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS302)
AY750140	311483	Drosophila unimaculata	911	Drosophila unimaculata alcohol dehydrogenase (Adh) gene, partial cds.
DQ471657	30016	Drosophila aracataca	711	Drosophila aracataca alcohol dehydrogenase (Adh) gene, partial cds.
U94206	58310	Drosophila soonae	204	Drosophila soonae alcohol dehydrogenase (Adh) gene, partial cds.
U94196	46895	Drosophila cyrtoloma	222	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.
GQ376038	7240	Drosophila simulans	410	Drosophila simulans alcohol dehydrogenase (ADH) gene, partial cds.
AY238770	7229	Drosophila miranda	2042	Drosophila miranda strain 0101.3 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
M60992	46244	Drosophila pseudoobscura bogotana	3485	Drosophila pseudoobscura bogotana alcohol dehydrogenase (adh) gene, complete cds.
X03630	7230	Drosophila mojavensis	285	Drosophila mojavensis duplicated Adh-2 gene fragment (alcohol dehydrogenase)
AB261132	98362	Drosophila ruberrima	858	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds.
AB932674	30046	Drosophila sternopleuralis	755	Drosophila sternopleuralis Adh gene for alcohol dehydrogenase, partial cds.
AF260693	7257	Drosophila robusta	458	Drosophila robusta alcohol dehydrogenase-related protein gene, partial cds.
HQ232350	1052065	Drosophila hypercephala	437	Drosophila hypercephala isolate c1 alcohol dehydrogenase gene, partial cds.
KM016470	7240	Drosophila simulans	476	Drosophila simulans isolate KY06 alcohol dehydrogenase-related gene, intron.
KM016474	7240	Drosophila simulans	481	Drosophila simulans isolate KY04 alcohol dehydrogenase-related gene, intron.
U95272	46793	Drosophila paulistorum	1166	Drosophila paulistorum Tame alcohol dehydrogenase (Adh) gene, complete cds.
X57368	7245	Drosophila yakuba	975	Drosophila yakuba (individual d) Adh gene for alcohol dehydrogenase
AB033639	55950	Drosophila sordidula	711	Drosophila sordidula Adh mRNA for alcohol dehydrogenase, partial cds.
AB033640	7244	Drosophila virilis	711	Drosophila virilis Adh mRNA for alcohol dehydrogenase, partial cds.
AB261133	157293	Drosophila hypocausta	850	Drosophila hypocausta Adh gene for alcohol dehydrogenase, partial cds.
AB261138	154130	Drosophila neonasuta	856	Drosophila neonasuta Adh gene for alcohol dehydrogenase, partial cds.
AB932653	198716	Drosophila deflecta	848	Drosophila deflecta Adh gene for alcohol dehydrogenase, partial cds.
AB932661	434062	Drosophila macrospina	847	Drosophila macrospina Adh gene for alcohol dehydrogenase, partial cds.
AB932671	55946	Drosophila recens	839	Drosophila recens Adh gene for alcohol dehydrogenase, partial cds.
AB932676	614641	Drosophila tenebrosa	849	Drosophila tenebrosa Adh gene for alcohol dehydrogenase, partial cds.
AF260690	7224	Drosophila hydei	450	Drosophila hydei alcohol dehydrogenase-related protein gene, partial cds.
KM016467	7240	Drosophila simulans	481	Drosophila simulans isolate KY35 alcohol dehydrogenase-related gene, intron.
X57365	7245	Drosophila yakuba	975	Drosophila yakuba (individual a) Adh gene for alcohol dehydrogenase
X57367	7245	Drosophila yakuba	975	Drosophila yakuba (individual c) Adh gene for alcohol dehydrogenase
AB932652	126591	Drosophila curvispina	845	Drosophila curvispina Adh gene for alcohol dehydrogenase, partial cds.
X57371	7245	Drosophila yakuba	975	Drosophila yakuba (individual g) Adh gene for alcohol dehydrogenase
U26845	40370	Drosophila montana	957	Drosophila montana alcohol dehydrogenase (Adh-2) gene, complete cds.
U95254	7260	Drosophila willistoni	1172	Drosophila willistoni A57 alcohol dehydrogenase (Adh) gene, complete cds.
U76484	7224	Drosophila hydei	251	Drosophila hydei alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.
X57364	7240	Drosophila simulans	975	Drosophila simulans (individual f) Adh gene for alcohol dehydrogenase
X57366	7245	Drosophila yakuba	975	Drosophila yakuba (individual b) ADH gene for alcohol dehydrogenase
X57363	7240	Drosophila simulans	972	Drosophila simulans (individual e) Adh gene for alcohol dehydrogenase
X60791	7227	Drosophila melanogaster	1925	D.melanogaster (strain KA12) Adh gene for alcohol dehydrogenase
AF201442	7240	Drosophila simulans	478	Drosophila simulans isolate RU01 alcohol dehydrogenase (Adhr) gene, intron 1.
AY095939	193351	Drosophila transversa	435	Drosophila transversa isolate tra1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471623	309936	Drosophila daruma	711	Drosophila daruma strain 151 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471645	381453	Drosophila beppui	711	Drosophila beppui strain 260 alcohol dehydrogenase (Adh) gene, partial cds.
EU532124	46793	Drosophila paulistorum	588	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.
JX455219	7240	Drosophila simulans	481	Drosophila simulans isolate HW50 alcohol dehydrogenase (Adhr) gene, intron 1.
KX976501	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_Abidjan_12 alcohol dehydrogenase (Adh) mRNA, complete cds.
M60987	7237	Drosophila pseudoobscura	3466	Drosophila pseudoobscura (strain AH162) alcohol dehydrogenase (adh) gene, complete cds.
DQ471652	119604	Drosophila lacertosa	711	Drosophila lacertosa strain 240 alcohol dehydrogenase (Adh) gene, partial cds.
U95263	7260	Drosophila willistoni	1172	Drosophila willistoni Manaus III alcohol dehydrogenase (Adh) gene, complete cds.
AB154557	30033	Drosophila kikkawai	686	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh16.
AB154562	30033	Drosophila kikkawai	683	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh21.
AF201445	7240	Drosophila simulans	465	Drosophila simulans isolate MD111 alcohol dehydrogenase (Adhr) gene, intron 1.
DQ471621	309936	Drosophila daruma	711	Drosophila daruma strain 137 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471638	381448	Drosophila angor	711	Drosophila angor strain 33 alcohol dehydrogenase (Adh) gene, partial cds.
EU532121	46793	Drosophila paulistorum	558	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.
JF710264	40368	Drosophila borealis	895	Drosophila borealis strain W alcohol dehydrogenase (Adh) gene, complete cds.
KX976491	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_Montecafe_17_17 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976493	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_Cascade_18 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976495	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_Cascade_19 alcohol dehydrogenase (Adh) mRNA, complete cds.
Z00030	7227	Drosophila melanogaster	7423	D. melanogaster alcohol dehydrogenase structural gene and flanks (composite sequence)
AB154548	30033	Drosophila kikkawai	686	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh07.
AB154549	30033	Drosophila kikkawai	686	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh08.
AB154558	30033	Drosophila kikkawai	683	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh17.
AF201435	7240	Drosophila simulans	480	Drosophila simulans isolate DSW alcohol dehydrogenase (Adhr) gene, intron 1.
AF201447	7240	Drosophila simulans	480	Drosophila simulans isolate MD199 alcohol dehydrogenase (Adhr) gene, intron 1.
AF284476	7226	Drosophila mauritiana	701	Drosophila mauritiana strain 197 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471618	309936	Drosophila daruma	711	Drosophila daruma strain 109 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471620	381452	Drosophila barutani	711	Drosophila barutani strain 53 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471639	381452	Drosophila barutani	711	Drosophila barutani strain 52 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471649	381466	Drosophila karakasa	711	Drosophila karakasa strain 249 alcohol dehydrogenase (Adh) gene, partial cds.
EU532126	46793	Drosophila paulistorum	507	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.
KX384730	42026	Drosophila bipectinata	873	Drosophila bipectinata strain IND_DBP_U14 alcohol dehydrogenase (Adh) gene, partial cds.
KX976520	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_2_6 alcohol dehydrogenase (Adh) mRNA, complete cds.
M60983	7237	Drosophila pseudoobscura	3487	Drosophila pseudoobscura (strain AH122) alcohol dehydrogenase (adh) gene, complete cds.
M60997	7234	Drosophila persimilis	3506	Drosophila persimilis (strain 178) alcohol dehydrogenase (adh) gene, complete cds.
U95252	7260	Drosophila willistoni	1172	Drosophila willistoni 0811.4 alcohol dehydrogenase (Adh) gene, complete cds.
U95269	46790	Drosophila equinoxialis	1167	Drosophila equinoxialis Puerto Rico alcohol dehydrogenase (Adh) gene, complete cds.
AY095946	126591	Drosophila curvispina	443	Drosophila curvispina isolate cur1 alcohol dehydrogenase (Adh) gene, partial cds.
AY095951	7283	Drosophila phalerata	430	Drosophila phalerata isolate pha1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471619	381449	Drosophila asper	711	Drosophila asper strain 152 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471640	311480	Drosophila medioconstricta	711	Drosophila medioconstricta strain 148 alcohol dehydrogenase (Adh) gene, partial cds.
JX455210	7240	Drosophila simulans	480	Drosophila simulans isolate HW01 alcohol dehydrogenase (Adhr) gene, intron 1.
U95268	46790	Drosophila equinoxialis	1174	Drosophila equinoxialis 0741.0 alcohol dehydrogenase (Adh) gene, complete cds.
AY335196	46840	Drosophila capricorni	776	Drosophila capricorni clone Dcap3 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471612	381448	Drosophila angor	711	Drosophila angor strain A138 alcohol dehydrogenase (Adh) gene, partial cds.
AY095940	42027	Drosophila kuntzei	431	Drosophila kuntzei isolate kun1 alcohol dehydrogenase (Adh) gene, partial cds.
AY335199	30047	Drosophila sturtevanti	792	Drosophila sturtevanti clone Dsturt1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471610	119604	Drosophila lacertosa	711	Drosophila lacertosa strain 170 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471616	381448	Drosophila angor	711	Drosophila angor strain 112 alcohol dehydrogenase (Adh) gene, partial cds.
EU532122	46793	Drosophila paulistorum	573	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.
EU532123	46793	Drosophila paulistorum	588	Drosophila paulistorum from Honduras alcohol dehydrogenase (Adh) gene, partial cds.
JX455211	7240	Drosophila simulans	480	Drosophila simulans isolate HW02 alcohol dehydrogenase (Adhr) gene, intron 1.
KX976505	7245	Drosophila yakuba	771	Drosophila yakuba isolate Yakuba_Bosu_1235_14 alcohol dehydrogenase (Adh) mRNA, complete cds.
U95274	46794	Drosophila tropicalis	1162	Drosophila tropicalis 0801.0 alcohol dehydrogenase (Adh) gene, complete cds.
AB669852	111875	Drosophila jambulina	830	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: NHO115.
AF136658	95109	Drosophila americana americana	884	Drosophila americana americana G96.40X alcohol dehydrogenase (Adh) gene, partial cds.
AF136665	95109	Drosophila americana americana	884	Drosophila americana americana G96.06X alcohol dehydrogenase (Adh) gene, partial cds.
AF136674	95109	Drosophila americana americana	884	Drosophila americana americana G96.10X alcohol dehydrogenase (Adh) gene, partial cds.
AF136706	40372	Drosophila americana texana	884	Drosophila americana texana LP97.09 alcohol dehydrogenase (Adh) gene, partial cds.
AF175217	7227	Drosophila melanogaster	951	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k30 allele, complete cds.
U64547	7237	Drosophila pseudoobscura	3471	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS323 allele, complete cds.
U64551	7237	Drosophila pseudoobscura	3473	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS334 allele, complete cds.
Y00602	7237	Drosophila pseudoobscura	3535	D. pseudoobscura Adh gene for alcohol dehydrogenase (EC1.1.1.1)
AF136672	95109	Drosophila americana americana	884	Drosophila americana americana G96.13X alcohol dehydrogenase (Adh) gene, partial cds.
AF136705	40372	Drosophila americana texana	884	Drosophila americana texana LP97.02 alcohol dehydrogenase (Adh) gene, partial cds.
AF175211	7227	Drosophila melanogaster	951	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h12 allele, complete cds.
AF175212	7227	Drosophila melanogaster	951	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h13 allele, complete cds.
AF459756	195712	Drosophila phaeopleura	290	Drosophila phaeopleura alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
KY002643	7227	Drosophila melanogaster	708	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_AMD10 alcohol dehydrogenase-like gene, complete sequence.
